url,title,realization,genre,subgenre,production,coproduction,type,theme,year
https://www.unifrance.org/film/50519/voyage-en-kabylie,Voyage en Kabylie,"Hace Mess, Mathieu Tuffreau",Fiction,Comédie,Saint-André-des-Arts,null,Long-métrage,null,undefined
https://www.unifrance.org/film/54697/que-m-est-il-permis-d-esperer,Que m'est-il permis d'espérer,"Vincent Gaullier, Raphaël Girardot",Documentaire,Documentaire,Iskra,null,Long-métrage,null,2020
https://www.unifrance.org/film/50993/trio,Trio,Ana Dumitrescu,Documentaire,null,Cristal Groupe,Cristal Groupe,Long-métrage,null,undefined
https://www.unifrance.org/film/50632/le-voyage-d-anton,Le Voyage d'Anton,Mariana Loupan,Documentaire,Documentaire,Schuch Productions,null,Long-métrage,null,2020
https://www.unifrance.org/film/51943/push-it-to-the-limit,Push It to the Limit,Sabrina Nouchi,Fiction,Thriller,KapFilms (ex-Kanibal Films Distribution),null,Long-métrage,null,2020
https://www.unifrance.org/film/53200/notre-pere,Notre père,Franck Llopis,Fiction,Comédie dramatique,Les Films à Fleur de Peau,null,Long-métrage,null,2020
https://www.unifrance.org/film/55445/solex-dans-les-pres,Solex dans les prés,Dominique Rocher,Fiction,Comédie,Le Couvoir,null,Long-métrage,null,2020
https://www.unifrance.org/film/49868/trouble,Trouble,Catherine Diran,Fiction,Drame,La Robe Orange,null,Long-métrage,null,2020
https://www.unifrance.org/film/41135/walden,Walden,Bojena Horackova,Fiction,Drame,Sedna Films,Le Fresnoy - Studio national des arts contemporains,Long-métrage,null,2020
https://www.unifrance.org/film/49826/le-repaire-des-contraires,Le Repaire des Contraires,Léa Rinaldi,Documentaire,Documentaire de création,aLéa Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/50786/soul-kids,Soul Kids,Hugo Sobelman,Documentaire,null,SRAB Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/53872/retourner-a-soloz,Retourner à Sölöz,Serge Avédikian,Documentaire,Documentaire,Les Films d'Ici,null,Long-métrage,null,2020
https://www.unifrance.org/film/56550/we-are-coming-chronique-d-une-revolution-feministe,We Are Coming - Chronique d'une révolution féministe,Nina Faure,Documentaire,null,C-P Productions,null,Long-métrage,null,2020
https://www.unifrance.org/film/50895/sublimation,Sublimation,"Johan Casinie, Emily Lombi",Fiction,Comédie,Saint-André-des-Arts,null,Long-métrage,null,undefined
https://www.unifrance.org/film/49837/una-promessa,Una Promessa,"Gianluca De Serio, Massimiliano De Serio",Fiction,Drame,Shellac,Shellac,Long-métrage,"Famille, Monde rural, Travail",undefined
https://www.unifrance.org/film/51095/we-are-soldiers,We are soldiers,Svitlana Smirnova,Documentaire,null,Com' On Screen,null,Long-métrage,null,2020
